Folder_Main,Folder_Date,Type,X,Y,Band_0,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33,Band_34,Band_35,Band_36,Band_37,Band_38,Band_39,Band_40,Band_41,Band_42,Band_43,Band_44,Band_45,Band_46,Band_47,Band_48,Band_49,Band_50,Band_51,Band_52,Band_53,Band_54,Band_55,Band_56,Band_57,Band_58,Band_59,Band_60,Band_61,Band_62,Band_63,Band_64,Band_65,Band_66,Band_67,Band_68,Band_69,Band_70,Band_71,Band_72,Band_73,Band_74,Band_75,Band_76,Band_77,Band_78,Band_79,Band_80,Band_81,Band_82,Band_83,Band_84,Band_85,Band_86,Band_87,Band_88,Band_89,Band_90,Band_91,Band_92,Band_93,Band_94,Band_95,Band_96,Band_97,Band_98,Band_99,Band_100,Band_101,Band_102,Band_103,Band_104,Band_105,Band_106,Band_107,Band_108,Band_109,Band_110,Band_111,Band_112,Band_113,Band_114,Band_115,Band_116,Band_117,Band_118,Band_119,Band_120,Band_121,Band_122,Band_123,Band_124,Band_125,Band_126,Band_127,Band_128,Band_129,Band_130,Band_131,Band_132,Band_133,Band_134,Band_135,Band_136,Band_137,Band_138,Band_139,Band_140,Band_141,Band_142,Band_143,Band_144,Band_145,Band_146,Band_147,Band_148,Band_149,Band_150,Band_151,Band_152,Band_153,Band_154,Band_155,Band_156,Band_157,Band_158,Band_159,Band_160,Band_161,Band_162,Band_163,Band_164,Band_165,Band_166,Band_167,Band_168,Band_169,Band_170,Band_171,Band_172,Band_173,Band_174,Band_175,Band_176,Band_177,Band_178,Band_179,Band_180,Band_181,Band_182,Band_183,Band_184,Band_185,Band_186,Band_187,Band_188,Band_189,Band_190,Band_191,Band_192,Band_193,Band_194,Band_195,Band_196,Band_197,Band_198,Band_199,Band_200,Band_201,Band_202,Band_203
241,424,2_18,18.09.24,Crack,0.37142858,0.29787233,0.25,0.22535211,0.19753087,0.17391305,0.17307693,0.16964285,0.16806723,0.16535433,0.15789473,0.15441176,0.15384616,0.14545454,0.13661203,0.12690355,0.13425925,0.12446352,0.12350598,0.11985019,0.123188406,0.1184669,0.12080537,0.12258065,0.12140575,0.11598746,0.12158055,0.116959065,0.118644066,0.11716621,0.12228261,0.12154696,0.12032086,0.1209068,0.12135922,0.121140145,0.12264151,0.121559635,0.12362031,0.12288135,0.12215321,0.12008282,0.11967546,0.12264151,0.12455516,0.12349914,0.12520593,0.12460064,0.12598425,0.12872842,0.13458529,0.13210446,0.13161875,0.13473053,0.14008942,0.14135338,0.14459665,0.14701378,0.15170279,0.15797788,0.15780999,0.16260162,0.17462933,0.1774461,0.18347107,0.18675722,0.19360569,0.19604316,0.20248668,0.21164021,0.21792619,0.22495607,0.2287234,0.23636363,0.23452158,0.24760076,0.26112187,0.25925925,0.26838967,0.27732792,0.2857143,0.29327902,0.29327902,0.30452675,0.31512606,0.3167028,0.31306306,0.31880733,0.32464454,0.33333334,0.3357488,0.33734939,0.34718826,0.35660848,0.36641222,0.3685567,0.38120106,0.38582677,0.3941019,0.4034091,0.41025642,0.4069149,0.40987656,0.41002277,0.40764332,0.41860464,0.41798943,0.41883117,0.4175655,0.4258373,0.42718446,0.4218978,0.4359673,0.43702772,0.44567627,0.44780487,0.45356175,0.45646662,0.46203038,0.47045282,0.47368422,0.48062593,0.48569277,0.4939535,0.50990754,0.51121604,0.51133275,0.51620746,0.5203837,0.5296507,0.53636366,0.5468354,0.5460069,0.55144405,0.56179774,0.5649663,0.5703048,0.5832482,0.58798736,0.5892473,0.5933941,0.603871,0.6119403,0.60091746,0.61526716,0.6155015,0.6176024,0.635514,0.63190186,0.63228697,0.64094955,0.6396396,0.6493109,0.6453674,0.65816325,0.6626087,0.663837,0.6689655,0.66064984,0.6710775,0.6779661,0.67754316,0.68441814,0.67479676,0.68619245,0.6839827,0.69282514,0.6906475,0.68907565,0.6993243,0.69285715,0.6979866,0.71014494,0.7020408,0.70689654,0.7040359,0.69787234,0.6965812,0.6792453,0.68944097,0.70212764,0.6885246,0.6619718,0.6626506,0.6527778,0.63235295,0.6571429,0.63235295,0.6376812,0.6142857,0.6081081,0.61728394,0.60215056,0.59375,0.62068963,0.63529414,0.62068963,0.6179775,0.5955056,0.6136364,0.61904764,0.6419753,0.6363636,0.56666666
249,368,2_18,11.09.24,Crack,0.32352942,0.25531915,0.21311475,0.1971831,0.17283951,0.16129032,0.14423077,0.15315315,0.14285715,0.12598425,0.12781955,0.13235295,0.125,0.12650603,0.11413044,0.11111111,0.10185185,0.10683761,0.1027668,0.09701493,0.09747292,0.096885815,0.096345514,0.09003215,0.09235669,0.090625,0.084848486,0.09037901,0.08988764,0.089673914,0.08695652,0.08839779,0.08533333,0.08838384,0.085365854,0.083932854,0.08983452,0.0940367,0.09030837,0.09168444,0.09623431,0.09623431,0.09775967,0.09885932,0.1005386,0.102253035,0.10482529,0.10339257,0.106687896,0.10459588,0.10883281,0.10990712,0.1146789,0.113464445,0.11178248,0.11854103,0.116743475,0.11627907,0.12050078,0.12579618,0.12965964,0.13235295,0.13245033,0.13522537,0.14,0.13651878,0.14285715,0.14361702,0.14991182,0.15044248,0.15097691,0.15178572,0.1534296,0.15584415,0.15738964,0.16338582,0.16269842,0.16232465,0.1670061,0.17427386,0.16945606,0.1740042,0.17473684,0.17234042,0.17429194,0.1748879,0.17090069,0.17021276,0.16911764,0.1734694,0.1721519,0.1632653,0.16321243,0.1591512,0.15718158,0.15934066,0.1643454,0.16573034,0.1747851,0.18731117,0.20658682,0.22038567,0.24303797,0.25641027,0.27705628,0.28769842,0.29945552,0.30884808,0.32176656,0.3364632,0.3353752,0.33936024,0.34625322,0.348865,0.35591397,0.36089495,0.3640511,0.36764705,0.37241948,0.37947494,0.38113797,0.38610038,0.39007092,0.39726028,0.4111262,0.40504807,0.41159964,0.41666666,0.42394015,0.4313395,0.43396226,0.4396853,0.44573992,0.44649446,0.45419848,0.46033302,0.46307385,0.46494845,0.47441363,0.47759563,0.48165137,0.4843162,0.4867872,0.48850575,0.49201742,0.49125364,0.4992636,0.50151515,0.49242425,0.49548194,0.5,0.5023112,0.50394946,0.5049505,0.5122807,0.5161871,0.5114638,0.518851,0.51509434,0.52952754,0.5176471,0.53306615,0.53195876,0.53078556,0.5315904,0.53047407,0.54418606,0.5282555,0.53038675,0.5316456,0.5331126,0.53205127,0.53424656,0.52434456,0.53515625,0.52845526,0.5282258,0.5185185,0.50224215,0.5083799,0.51666665,0.505618,0.5,0.4678899,0.44329897,0.43956044,0.41573033,0.41860464,0.39285713,0.4047619,0.40697673,0.4,0.3814433,0.3814433,0.36666667,0.3908046,0.3908046,0.37931034,0.3764706,0.39506173,0.4050633,0.4,0.4027778,0.4
230,353,2_18,05.09.24,Crack,0.4054054,0.3137255,0.24242425,0.22077923,0.1954023,0.18,0.16071428,0.15,0.1484375,0.13868614,0.13986014,0.13013698,0.13548388,0.12921348,0.12182741,0.112676054,0.11158799,0.0996016,0.1,0.101045296,0.0976431,0.100323625,0.096273296,0.0990991,0.0952381,0.093294464,0.09322034,0.09264305,0.08661418,0.08883249,0.088607594,0.09020618,0.08955224,0.0917647,0.09070295,0.08685969,0.08830022,0.08798283,0.09072165,0.09163347,0.09356725,0.09551657,0.096958175,0.09397163,0.0921273,0.09546926,0.0931677,0.09516616,0.09687034,0.09643917,0.09882006,0.0984081,0.10428572,0.10719323,0.108298175,0.11048159,0.11477762,0.12103746,0.12663755,0.13204747,0.1387632,0.1443769,0.15360983,0.16049382,0.16666667,0.1711569,0.18046358,0.18729097,0.19402985,0.19701986,0.2092257,0.21157025,0.21404682,0.22375216,0.2241993,0.22950819,0.23161764,0.23376623,0.24007562,0.2423077,0.2446602,0.24513619,0.2417154,0.23865877,0.24040404,0.23221758,0.22391304,0.21777777,0.21016166,0.20525059,0.19194312,0.1872038,0.17675544,0.16831683,0.16919191,0.15897436,0.1658031,0.1796875,0.198939,0.232493,0.273743,0.31770834,0.36626506,0.39777777,0.42886597,0.4521576,0.47863248,0.4976452,0.5156951,0.5276074,0.5353846,0.54381084,0.5473411,0.55382776,0.5548523,0.5635514,0.56908464,0.5701541,0.5754789,0.57763064,0.5824334,0.58760685,0.5949091,0.5981982,0.59900373,0.5997795,0.60720414,0.6146718,0.6213741,0.626935,0.63070863,0.6369478,0.6407285,0.6494845,0.65155554,0.65482694,0.66108006,0.66988415,0.6746269,0.6748216,0.67351353,0.6821516,0.67507005,0.67528737,0.6781609,0.67765045,0.6728838,0.6602941,0.6574746,0.6505682,0.6530324,0.6537911,0.64912283,0.6493902,0.6547812,0.6451078,0.64715445,0.6456954,0.6371528,0.6539855,0.64014465,0.6420664,0.6463878,0.64509803,0.6358149,0.64091855,0.6285097,0.6273148,0.6216216,0.6278317,0.6135593,0.61093247,0.5958188,0.6015625,0.59917355,0.5854701,0.5778689,0.5661157,0.5601852,0.5521472,0.5625,0.546875,0.527027,0.4827586,0.47368422,0.46478873,0.43055555,0.44285715,0.4,0.375,0.36842105,0.3493976,0.3263158,0.33333334,0.3409091,0.3488372,0.3409091,0.32222223,0.3483146,0.35632184,0.33333334,0.35,0.37662336,0.40677965
235,336,2_18,01.09.24,Crack,0.3888889,0.23076923,0.22222222,0.20454545,0.1764706,0.16949153,0.1641791,0.15277778,0.13157895,0.13580246,0.13095239,0.13953489,0.13333334,0.125,0.12173913,0.10655738,0.11940298,0.11805555,0.11612903,0.11585366,0.112426035,0.11363637,0.10928962,0.11170213,0.11578947,0.114583336,0.116161615,0.107317075,0.11374407,0.110091746,0.1146789,0.11214953,0.108597286,0.10729614,0.10788382,0.114285715,0.11885246,0.12096774,0.12451362,0.13207547,0.13653137,0.14552239,0.14705883,0.14583333,0.15231788,0.15806451,0.159375,0.16513762,0.16109422,0.17177914,0.17230769,0.17325228,0.17717718,0.18154761,0.18991098,0.1891892,0.19207317,0.19631901,0.203125,0.20127796,0.21311475,0.21710527,0.21594684,0.22073579,0.22333333,0.22648084,0.23106061,0.23735408,0.2413793,0.23970038,0.24542125,0.24727273,0.24542125,0.24905661,0.23921569,0.24497992,0.2398374,0.23868313,0.24050634,0.24454148,0.23893805,0.23893805,0.23555556,0.23318386,0.22580644,0.22330096,0.2113402,0.2,0.20108695,0.18994413,0.18579236,0.16756757,0.16483517,0.15642458,0.14942528,0.15116279,0.147929,0.1497006,0.16564417,0.19205298,0.23809524,0.28104576,0.32298136,0.38728324,0.4402174,0.47029704,0.51785713,0.55144036,0.568,0.5990991,0.6195122,0.6447368,0.65690374,0.66536963,0.6590164,0.6620879,0.6683047,0.6808036,0.6728395,0.67578125,0.68,0.68926555,0.6832061,0.6966019,0.6981818,0.6996805,0.6988235,0.71193415,0.70445347,0.7198364,0.7125,0.7136752,0.72483224,0.7296651,0.73566085,0.7372449,0.7414248,0.7368421,0.74643874,0.7521614,0.7539432,0.75097275,0.7584541,0.74271846,0.75829387,0.75,0.72602737,0.7209302,0.7111111,0.7058824,0.70445347,0.70564514,0.6882591,0.6932773,0.6950673,0.6849315,0.6858407,0.68609864,0.6760563,0.6813725,0.6764706,0.68,0.67525774,0.6631016,0.65745854,0.6551724,0.6506024,0.66442955,0.63793105,0.6551724,0.654321,0.65555555,0.6375,0.6268657,0.6229508,0.5862069,0.58208954,0.60294116,0.5614035,0.5641026,0.57894737,0.72727275,0.61538464,0.5625,0.61538464,0.61538464,0.61538464,0.53846157,0.5714286,0.46666667,0.4117647,0.3888889,0.4,0.34615386,0.39130434,0.3478261,0.4,0.33333334,0.35714287,0.32142857,0.39285713,0.37037036,0.34615386,0.4090909
228,424,2_18,22.08.24,Crack,0.64705884,0.55,0.5,0.4814815,0.46666667,0.36363637,0.3611111,0.36842105,0.35,0.3255814,0.33333334,0.3478261,0.30612245,0.29090908,0.29508197,0.25757575,0.25,0.24358974,0.23809524,0.22727273,0.23913044,0.25,0.24752475,0.25,0.24528302,0.22222222,0.23214285,0.23275863,0.23140496,0.23015873,0.23015873,0.232,0.22307692,0.23913044,0.25,0.25675675,0.27333334,0.2820513,0.2987805,0.33139536,0.3519553,0.3646409,0.3968254,0.41747573,0.4394619,0.46153846,0.46963564,0.48062015,0.47908744,0.4849624,0.49814126,0.5018182,0.5,0.50526315,0.5052265,0.50877196,0.5160142,0.50537634,0.5036232,0.4925926,0.4810606,0.4827586,0.484375,0.46850392,0.45490196,0.4516129,0.44537815,0.44067797,0.43096235,0.42677826,0.4273859,0.42259413,0.42016807,0.40948275,0.40707964,0.3918919,0.37727273,0.3761468,0.3627907,0.3537736,0.3601896,0.3649289,0.35545024,0.33653846,0.32352942,0.30612245,0.3,0.28342247,0.27071825,0.26285714,0.252809,0.2259887,0.21714285,0.19883041,0.19642857,0.19879518,0.18787879,0.19393939,0.22839506,0.2580645,0.3164557,0.3859649,0.4574468,0.5215311,0.57758623,0.61509436,0.6567657,0.6812866,0.69518715,0.7161804,0.72634274,0.71991247,0.7240704,0.7283737,0.71783626,0.7116105,0.70837986,0.7088866,0.71010387,0.7048889,0.7101201,0.7049455,0.6994123,0.6982492,0.72701555,0.72478205,0.72081715,0.7110333,0.7132988,0.7224168,0.7188612,0.7210145,0.721342,0.7243714,0.73146296,0.7335391,0.7410526,0.7453552,0.7446569,0.7517241,0.7402439,0.7423823,0.7496013,0.73735726,0.74308944,0.73214287,0.7300813,0.72651005,0.7247098,0.7147488,0.71221864,0.71824104,0.70666665,0.7071057,0.7060998,0.71833646,0.7053407,0.6985019,0.7027559,0.7016461,0.6967213,0.6918239,0.69330454,0.688196,0.68119264,0.67695963,0.68719214,0.6719577,0.67601246,0.67790264,0.6653543,0.65682656,0.65863454,0.65158373,0.6555024,0.6368159,0.61904764,0.6076555,0.5967742,0.5797101,0.56962025,0.5882353,0.56666666,0.5070422,0.5081967,0.4909091,0.45614034,0.43396226,0.4181818,0.39285713,0.40677965,0.390625,0.3783784,0.35526314,0.3478261,0.37313432,0.3478261,0.36619717,0.35211268,0.37142858,0.36764705,0.3846154,0.4032258,0.4090909
